Experiment start. 

Data :	 1
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.375000	 taskstep variance 0.744024	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.375000	 robotstep variance 1.060660	 total robotstep 29.000000
SAPOAads Algorithm :	 taskstep 10.000000	 taskstep mean 9.000000	 taskstep variance 0.816497	 total taskstep 12.000000	 robotstep 52.000000	 robotstep mean 42.625000	 robotstep variance 3.896580	 total robotstep 56.000000
SAPOAads Algorithm :	 taskstep 10.000000	 taskstep mean 8.937500	 taskstep variance 0.928709	 total taskstep 11.000000	 robotstep 51.000000	 robotstep mean 42.812500	 robotstep variance 3.691770	 total robotstep 56.000000
SAPOAads Algorithm :	 taskstep 31.000000	 taskstep mean 23.000000	 taskstep variance 7.771744	 total taskstep 46.000000	 robotstep 50.000000	 robotstep mean 42.500000	 robotstep variance 3.464102	 total robotstep 57.000000
SAPOAads Algorithm :	 taskstep 12.000000	 taskstep mean 10.375000	 taskstep variance 1.258306	 total taskstep 15.000000	 robotstep 50.000000	 robotstep mean 41.312500	 robotstep variance 3.754442	 total robotstep 55.000000
Data 12 complete: (SAPOAads Algorithm)	 success rate: 1.000000	 task step: 13.900000	 taskstep mean 11.703125	 taskstep variance 1.965325	 total taskstep 17.550000	 robotstep 48.750000	 robotstep mean 40.903125	 robotstep variance 3.560067	 total robotstep 53.350000

Data :	 13
SAPOAads Algorithm :	 taskstep 29.000000	 taskstep mean 17.312500	 taskstep variance 10.044692	 total taskstep 41.000000	 robotstep 50.000000	 robotstep mean 44.562500	 robotstep variance 3.520772	 total robotstep 55.000000
SAPOAads Algorithm :	 taskstep 42.000000	 taskstep mean 26.187500	 taskstep variance 14.446309	 total taskstep 61.000000	 robotstep 50.000000	 robotstep mean 43.500000	 robotstep variance 3.098387	 total robotstep 53.000000
SAPOAads Algorithm :	 taskstep 26.000000	 taskstep mean 15.812500	 taskstep variance 8.494851	 total taskstep 33.000000	 robotstep 48.000000	 robotstep mean 41.687500	 robotstep variance 3.458685	 total robotstep 50.000000
SAPOAads Algorithm :	 taskstep 15.000000	 taskstep mean 9.562500	 taskstep variance 3.501785	 total taskstep 16.000000	 robotstep 46.000000	 robotstep mean 41.375000	 robotstep variance 3.117157	 total robotstep 50.000000
SAPOAads Algorithm :	 taskstep 22.000000	 taskstep mean 16.500000	 taskstep variance 3.614784	 total taskstep 28.000000	 robotstep 49.000000	 robotstep mean 44.125000	 robotstep variance 3.774917	 total robotstep 54.000000
SAPOAads Algorithm :	 taskstep 18.000000	 taskstep mean 11.937500	 taskstep variance 3.820449	 total taskstep 22.000000	 robotstep 49.000000	 robotstep mean 43.375000	 robotstep variance 3.008322	 total robotstep 53.000000
SAPOAads Algorithm :	 taskstep 17.000000	 taskstep mean 10.437500	 taskstep variance 5.549399	 total taskstep 21.000000	 robotstep 47.000000	 robotstep mean 40.875000	 robotstep variance 2.986079	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 33.000000	 taskstep mean 20.812500	 taskstep variance 10.546524	 total taskstep 45.000000	 robotstep 54.000000	 robotstep mean 46.875000	 robotstep variance 3.879433	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 31.000000	 taskstep mean 25.250000	 taskstep variance 4.683304	 total taskstep 41.000000	 robotstep 58.000000	 robotstep mean 48.500000	 robotstep variance 5.019960	 total robotstep 60.000000
SAPOAads Algorithm :	 taskstep 25.000000	 taskstep mean 15.062500	 taskstep variance 7.928588	 total taskstep 34.000000	 robotstep 48.000000	 robotstep mean 42.812500	 robotstep variance 3.145764	 total robotstep 52.000000
SAPOAads Algorithm :	 taskstep 13.000000	 taskstep mean 8.437500	 taskstep variance 3.595715	 total taskstep 15.000000	 robotstep 47.000000	 robotstep mean 40.875000	 robotstep variance 2.986079	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 35.000000	 taskstep mean 20.562500	 taskstep variance 13.038245	 total taskstep 47.000000	 robotstep 48.000000	 robotstep mean 43.312500	 robotstep variance 3.026962	 total robotstep 52.000000
SAPOAads Algorithm :	 taskstep 24.000000	 taskstep mean 15.437500	 taskstep variance 6.153251	 total taskstep 30.000000	 robotstep 52.000000	 robotstep mean 44.312500	 robotstep variance 3.718759	 total robotstep 54.000000
SAPOAads Algorithm :	 taskstep 20.000000	 taskstep mean 14.062500	 taskstep variance 3.732180	 total taskstep 23.000000	 robotstep 51.000000	 robotstep mean 45.937500	 robotstep variance 3.172144	 total robotstep 56.000000
SAPOAads Algorithm :	 taskstep 27.000000	 taskstep mean 16.062500	 taskstep variance 9.671048	 total taskstep 37.000000	 robotstep 46.000000	 robotstep mean 41.187500	 robotstep variance 3.059820	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 24.000000	 taskstep mean 17.937500	 taskstep variance 4.668601	 total taskstep 33.000000	 robotstep 50.000000	 robotstep mean 44.375000	 robotstep variance 3.201562	 total robotstep 54.000000
SAPOAads Algorithm :	 taskstep 18.000000	 taskstep mean 12.312500	 taskstep variance 3.177394	 total taskstep 20.000000	 robotstep 50.000000	 robotstep mean 45.125000	 robotstep variance 3.442383	 total robotstep 54.000000
SAPOAads Algorithm :	 taskstep 17.000000	 taskstep mean 11.562500	 taskstep variance 3.846535	 total taskstep 21.000000	 robotstep 49.000000	 robotstep mean 42.937500	 robotstep variance 3.193092	 total robotstep 52.000000
SAPOAads Algorithm :	 taskstep 27.000000	 taskstep mean 18.437500	 taskstep variance 6.602714	 total taskstep 36.000000	 robotstep 52.000000	 robotstep mean 44.187500	 robotstep variance 3.936475	 total robotstep 53.000000
SAPOAads Algorithm :	 taskstep 25.000000	 taskstep mean 15.437500	 taskstep variance 7.659145	 total taskstep 33.000000	 robotstep 49.000000	 robotstep mean 43.187500	 robotstep variance 3.081531	 total robotstep 53.000000
Data 13 complete: (SAPOAads Algorithm)	 success rate: 1.000000	 task step: 24.400000	 taskstep mean 15.956250	 taskstep variance 6.738776	 total taskstep 31.850000	 robotstep 49.650000	 robotstep mean 43.656250	 robotstep variance 3.391414	 total robotstep 53.000000

Data :	 14
SAPOAads Algorithm :	 taskstep 17.000000	 taskstep mean 13.062500	 taskstep variance 2.792102	 total taskstep 21.000000	 robotstep 48.000000	 robotstep mean 40.937500	 robotstep variance 3.315997	 total robotstep 49.000000
SAPOAads Algorithm :	 taskstep 41.000000	 taskstep mean 31.250000	 taskstep variance 11.693303	 total taskstep 63.000000	 robotstep 54.000000	 robotstep mean 45.500000	 robotstep variance 4.830459	 total robotstep 57.000000
SAPOAads Algorithm :	 taskstep 36.000000	 taskstep mean 22.937500	 taskstep variance 10.957304	 total taskstep 40.000000	 robotstep 55.000000	 robotstep mean 48.125000	 robotstep variance 3.685557	 total robotstep 63.000000
SAPOAads Algorithm :	 taskstep 23.000000	 taskstep mean 17.750000	 taskstep variance 5.310367	 total taskstep 31.000000	 robotstep 56.000000	 robotstep mean 47.562500	 robotstep variance 4.884926	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 39.000000	 taskstep mean 24.937500	 taskstep variance 11.233692	 total taskstep 42.000000	 robotstep 51.000000	 robotstep mean 44.625000	 robotstep variance 3.383785	 total robotstep 56.000000
SAPOAads Algorithm :	 taskstep 27.000000	 taskstep mean 21.312500	 taskstep variance 3.553754	 total taskstep 38.000000	 robotstep 53.000000	 robotstep mean 47.125000	 robotstep variance 3.685557	 total robotstep 59.000000
SAPOAads Algorithm :	 taskstep 21.000000	 taskstep mean 14.562500	 taskstep variance 5.202163	 total taskstep 24.000000	 robotstep 52.000000	 robotstep mean 45.000000	 robotstep variance 3.633180	 total robotstep 57.000000
SAPOAads Algorithm :	 taskstep 15.000000	 taskstep mean 11.125000	 taskstep variance 3.537890	 total taskstep 17.000000	 robotstep 51.000000	 robotstep mean 43.062500	 robotstep variance 3.750000	 total robotstep 52.000000
SAPOAads Algorithm :	 taskstep 11.000000	 taskstep mean 7.750000	 taskstep variance 2.768875	 total taskstep 12.000000	 robotstep 51.000000	 robotstep mean 42.812500	 robotstep variance 3.468309	 total robotstep 52.000000
SAPOAads Algorithm :	 taskstep 85.000000	 taskstep mean 48.187500	 taskstep variance 30.904625	 total taskstep 89.000000	 robotstep 52.000000	 robotstep mean 44.312500	 robotstep variance 3.736643	 total robotstep 55.000000
SAPOAads Algorithm :	 taskstep 24.000000	 taskstep mean 16.312500	 taskstep variance 5.108408	 total taskstep 29.000000	 robotstep 51.000000	 robotstep mean 43.250000	 robotstep variance 3.356586	 total robotstep 52.000000
SAPOAads Algorithm :	 taskstep 27.000000	 taskstep mean 19.062500	 taskstep variance 7.869509	 total taskstep 31.000000	 robotstep 51.000000	 robotstep mean 43.750000	 robotstep variance 3.435113	 total robotstep 54.000000
SAPOAads Algorithm fails! 
SAPOAads Algorithm :	 taskstep 20.000000	 taskstep mean 14.875000	 taskstep variance 4.529533	 total taskstep 24.000000	 robotstep 49.000000	 robotstep mean 42.812500	 robotstep variance 3.059820	 total robotstep 52.000000
SAPOAads Algorithm :	 taskstep 20.000000	 taskstep mean 14.000000	 taskstep variance 5.378971	 total taskstep 24.000000	 robotstep 53.000000	 robotstep mean 44.750000	 robotstep variance 3.991658	 total robotstep 55.000000
SAPOAads Algorithm :	 taskstep 15.000000	 taskstep mean 11.250000	 taskstep variance 3.907258	 total taskstep 18.000000	 robotstep 54.000000	 robotstep mean 45.250000	 robotstep variance 4.725816	 total robotstep 56.000000
SAPOAads Algorithm :	 taskstep 23.000000	 taskstep mean 16.250000	 taskstep variance 6.329824	 total taskstep 27.000000	 robotstep 52.000000	 robotstep mean 44.312500	 robotstep variance 3.736643	 total robotstep 55.000000
SAPOAads Algorithm :	 taskstep 13.000000	 taskstep mean 8.875000	 taskstep variance 2.473190	 total taskstep 16.000000	 robotstep 51.000000	 robotstep mean 42.625000	 robotstep variance 3.556684	 total robotstep 52.000000
SAPOAads Algorithm :	 taskstep 11.000000	 taskstep mean 8.437500	 taskstep variance 2.337199	 total taskstep 14.000000	 robotstep 47.000000	 robotstep mean 40.625000	 robotstep variance 3.304038	 total robotstep 48.000000
SAPOAads Algorithm :	 taskstep 32.000000	 taskstep mean 20.062500	 taskstep variance 10.742245	 total taskstep 35.000000	 robotstep 54.000000	 robotstep mean 45.687500	 robotstep variance 4.672169	 total robotstep 57.000000
Data 14 complete: (SAPOAads Algorithm)	 success rate: 0.950000	 task step: 26.315789	 taskstep mean 18.000000	 taskstep variance 7.191064	 total taskstep 31.315789	 robotstep 51.842105	 robotstep mean 44.322368	 robotstep variance 3.800681	 total robotstep 54.684211

Data :	 15
SAPOAads Algorithm :	 taskstep 14.000000	 taskstep mean 8.625000	 taskstep variance 2.578759	 total taskstep 18.000000	 robotstep 47.000000	 robotstep mean 41.000000	 robotstep variance 4.082483	 total robotstep 51.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 6.312500	 taskstep variance 1.537043	 total taskstep 10.000000	 robotstep 51.000000	 robotstep mean 43.125000	 robotstep variance 4.364631	 total robotstep 53.000000
SAPOAads Algorithm :	 taskstep 17.000000	 taskstep mean 12.187500	 taskstep variance 3.290770	 total taskstep 21.000000	 robotstep 55.000000	 robotstep mean 45.875000	 robotstep variance 4.674398	 total robotstep 60.000000
SAPOAads Algorithm :	 taskstep 11.000000	 taskstep mean 6.125000	 taskstep variance 2.247221	 total taskstep 11.000000	 robotstep 48.000000	 robotstep mean 41.062500	 robotstep variance 4.668601	 total robotstep 51.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 5.437500	 taskstep variance 2.032035	 total taskstep 9.000000	 robotstep 54.000000	 robotstep mean 44.687500	 robotstep variance 4.908751	 total robotstep 56.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 5.562500	 taskstep variance 1.672075	 total taskstep 9.000000	 robotstep 53.000000	 robotstep mean 43.812500	 robotstep variance 4.956057	 total robotstep 54.000000
SAPOAads Algorithm :	 taskstep 13.000000	 taskstep mean 10.000000	 taskstep variance 1.932184	 total taskstep 14.000000	 robotstep 52.000000	 robotstep mean 45.625000	 robotstep variance 5.018300	 total robotstep 55.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 6.375000	 taskstep variance 1.784190	 total taskstep 10.000000	 robotstep 49.000000	 robotstep mean 42.250000	 robotstep variance 4.297286	 total robotstep 51.000000
SAPOAads Algorithm :	 taskstep 10.000000	 taskstep mean 6.812500	 taskstep variance 1.905037	 total taskstep 11.000000	 robotstep 53.000000	 robotstep mean 43.187500	 robotstep variance 3.885336	 total robotstep 54.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 5.562500	 taskstep variance 1.931105	 total taskstep 9.000000	 robotstep 54.000000	 robotstep mean 45.062500	 robotstep variance 4.781475	 total robotstep 57.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 6.687500	 taskstep variance 1.352467	 total taskstep 11.000000	 robotstep 50.000000	 robotstep mean 41.312500	 robotstep variance 4.392702	 total robotstep 51.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 4.937500	 taskstep variance 1.948290	 total taskstep 9.000000	 robotstep 53.000000	 robotstep mean 43.187500	 robotstep variance 4.636360	 total robotstep 55.000000
SAPOAads Algorithm :	 taskstep 13.000000	 taskstep mean 10.312500	 taskstep variance 1.990603	 total taskstep 16.000000	 robotstep 55.000000	 robotstep mean 44.187500	 robotstep variance 3.936475	 total robotstep 56.000000
SAPOAads Algorithm :	 taskstep 8.000000	 taskstep mean 5.562500	 taskstep variance 1.547848	 total taskstep 9.000000	 robotstep 53.000000	 robotstep mean 43.937500	 robotstep variance 4.767512	 total robotstep 54.000000
SAPOAads Algorithm :	 taskstep 9.000000	 taskstep mean 5.625000	 taskstep variance 2.093641	 total taskstep 10.000000	 robotstep 55.000000	 robotstep mean 44.937500	 robotstep variance 4.864412	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 11.000000	 taskstep mean 6.687500	 taskstep variance 2.182315	 total taskstep 12.000000	 robotstep 57.000000	 robotstep mean 45.000000	 robotstep variance 4.472136	 total robotstep 58.000000
SAPOAads Algorithm :	 taskstep 10.000000	 taskstep mean 7.000000	 taskstep variance 1.788854	 total taskstep 11.000000	 robotstep 56.000000	 robotstep mean 45.750000	 robotstep variance 4.864840	 total robotstep 59.000000
SAPOAads Algorithm :	 taskstep 16.000000	 taskstep mean 11.812500	 taskstep variance 2.713393	 total taskstep 21.000000	 robotstep 51.000000	 robotstep mean 44.312500	 robotstep variance 4.854122	 total robotstep 56.000000
SAPOAads Algorithm :	 taskstep 12.000000	 taskstep mean 7.562500	 taskstep variance 2.096624	 total taskstep 13.000000	 robotstep 61.000000	 robotstep mean 48.500000	 robotstep variance 4.979960	 total robotstep 64.000000
SAPOAads Algorithm :	 taskstep 10.000000	 taskstep mean 6.125000	 taskstep variance 1.995829	 total taskstep 11.000000	 robotstep 48.000000	 robotstep mean 40.750000	 robotstep variance 4.683304	 total robotstep 50.000000
Data 15 complete: (SAPOAads Algorithm)	 success rate: 1.000000	 task step: 10.750000	 taskstep mean 7.265625	 taskstep variance 2.031014	 total taskstep 12.250000	 robotstep 52.750000	 robotstep mean 43.878125	 robotstep variance 4.604457	 total robotstep 55.150000

Data :	 16
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000
Data 16 complete: (SAPOAads Algorithm)	 success rate: 1.000000	 task step: 4.000000	 taskstep mean 3.500000	 taskstep variance 0.632456	 total taskstep 4.000000	 robotstep 45.000000	 robotstep mean 38.312500	 robotstep variance 2.937544	 total robotstep 47.000000

Data :	 17
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
Data 17 complete: (SAPOAads Algorithm)	 success rate: 0.000000	 task step: -nan(ind)	 taskstep mean -nan(ind)	 taskstep variance -nan(ind)	 total taskstep -nan(ind)	 robotstep -nan(ind)	 robotstep mean -nan(ind)	 robotstep variance -nan(ind)	 total robotstep -nan(ind)

Data :	 18
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
SAPOAads Algorithm fails! 
Data 18 complete: (SAPOAads Algorithm)	 success rate: 0.000000	 task step: -nan(ind)	 taskstep mean -nan(ind)	 taskstep variance -nan(ind)	 total taskstep -nan(ind)	 robotstep -nan(ind)	 robotstep mean -nan(ind)	 robotstep variance -nan(ind)	 total robotstep -nan(ind)

Data :	 19
SAPOAads Algorithm :	 taskstep 38.000000	 taskstep mean 23.750000	 taskstep variance 12.374705	 total taskstep 53.000000	 robotstep 64.000000	 robotstep mean 54.875000	 robotstep variance 5.572253	 total robotstep 66.000000
SAPOAads Algorithm :	 taskstep 35.000000	 taskstep mean 24.250000	 taskstep variance 8.782558	 total taskstep 48.000000	 robotstep 73.000000	 robotstep mean 60.437500	 robotstep variance 6.217918	 total robotstep 74.000000
SAPOAads Algorithm :	 taskstep 13.000000	 taskstep mean 10.937500	 taskstep variance 1.436141	 total taskstep 13.000000	 robotstep 63.000000	 robotstep mean 53.375000	 robotstep variance 5.512108	 total robotstep 64.000000
SAPOAads Algorithm :	 taskstep 16.000000	 taskstep mean 14.625000	 taskstep variance 0.806226	 total taskstep 22.000000	 robotstep 66.000000	 robotstep mean 54.687500	 robotstep variance 5.747101	 total robotstep 67.000000
SAPOAads Algorithm :	 taskstep 69.000000	 taskstep mean 60.125000	 taskstep variance 7.283543	 total taskstep 101.000000	 robotstep 70.000000	 robotstep mean 58.812500	 robotstep variance 6.199126	 total robotstep 72.000000
SAPOAads Algorithm :	 taskstep 13.000000	 taskstep mean 10.812500	 taskstep variance 1.223043	 total taskstep 13.000000	 robotstep 63.000000	 robotstep mean 53.562500	 robotstep variance 5.537373	 total robotstep 65.000000
SAPOAads Algorithm :	 taskstep 34.000000	 taskstep mean 23.250000	 taskstep variance 9.497368	 total taskstep 51.000000	 robotstep 62.000000	 robotstep mean 53.250000	 robotstep variance 5.360348	 total robotstep 64.000000
SAPOAads Algorithm :	 taskstep 15.000000	 taskstep mean 12.000000	 taskstep variance 1.932184	 total taskstep 17.000000	 robotstep 66.000000	 robotstep mean 55.375000	 robotstep variance 5.725673	 total robotstep 67.000000
SAPOAads Algorithm :	 taskstep 31.000000	 taskstep mean 21.562500	 taskstep variance 8.485036	 total taskstep 41.000000	 robotstep 64.000000	 robotstep mean 55.125000	 robotstep variance 4.951431	 total robotstep 66.000000
SAPOAads Algorithm :	 taskstep 98.000000	 taskstep mean 55.125000	 taskstep variance 43.384905	 total taskstep 150.000000	 robotstep 64.000000	 robotstep mean 55.000000	 robotstep variance 5.477226	 total robotstep 68.000000
SAPOAads Algorithm :	 taskstep 41.000000	 taskstep mean 25.750000	 taskstep variance 14.866069	 total taskstep 61.000000	 robotstep 61.000000	 robotstep mean 52.437500	 robotstep variance 5.353737	 total robotstep 63.000000
SAPOAads Algorithm :	 taskstep 39.000000	 taskstep mean 24.750000	 taskstep variance 14.087820	 total taskstep 57.000000	 robotstep 62.000000	 robotstep mean 52.000000	 robotstep variance 4.802777	 total robotstep 64.000000
SAPOAads Algorithm :	 taskstep 34.000000	 taskstep mean 27.687500	 taskstep variance 5.300550	 total taskstep 50.000000	 robotstep 66.000000	 robotstep mean 55.437500	 robotstep variance 5.864796	 total robotstep 67.000000
SAPOAads Algorithm :	 taskstep 72.000000	 taskstep mean 60.687500	 taskstep variance 10.562315	 total taskstep 74.000000	 robotstep 61.000000	 robotstep mean 51.750000	 robotstep variance 5.397530	 total robotstep 62.000000
SAPOAads Algorithm :	 taskstep 21.000000	 taskstep mean 17.250000	 taskstep variance 2.863564	 total taskstep 29.000000	 robotstep 67.000000	 robotstep mean 55.250000	 robotstep variance 5.615455	 total robotstep 69.000000
SAPOAads Algorithm :	 taskstep 26.000000	 taskstep mean 19.875000	 taskstep variance 4.991660	 total taskstep 36.000000	 robotstep 65.000000	 robotstep mean 54.937500	 robotstep variance 5.182905	 total robotstep 68.000000
SAPOAads Algorithm :	 taskstep 36.000000	 taskstep mean 24.000000	 taskstep variance 11.518102	 total taskstep 51.000000	 robotstep 65.000000	 robotstep mean 55.062500	 robotstep variance 5.039428	 total robotstep 67.000000
SAPOAads Algorithm :	 taskstep 56.000000	 taskstep mean 35.437500	 taskstep variance 20.484039	 total taskstep 84.000000	 robotstep 65.000000	 robotstep mean 54.875000	 robotstep variance 5.560276	 total robotstep 68.000000
SAPOAads Algorithm :	 taskstep 14.000000	 taskstep mean 13.000000	 taskstep variance 0.966092	 total taskstep 17.000000	 robotstep 69.000000	 robotstep mean 55.875000	 robotstep variance 6.216912	 total robotstep 70.000000
SAPOAads Algorithm :	 taskstep 40.000000	 taskstep mean 25.687500	 taskstep variance 13.523899	 total taskstep 60.000000	 robotstep 65.000000	 robotstep mean 55.437500	 robotstep variance 5.176469	 total robotstep 67.000000
Data 19 complete: (SAPOAads Algorithm)	 success rate: 1.000000	 task step: 37.050000	 taskstep mean 26.528125	 taskstep variance 9.718491	 total taskstep 51.400000	 robotstep 65.050000	 robotstep mean 54.878125	 robotstep variance 5.525542	 total robotstep 66.900000

Data :	 20
SAPOAads Algorithm :	 taskstep 25.000000	 taskstep mean 17.562500	 taskstep variance 5.864796	 total taskstep 35.000000	 robotstep 62.000000	 robotstep mean 52.750000	 robotstep variance 4.932883	 total robotstep 65.000000
SAPOAads Algorithm :	 taskstep 19.000000	 taskstep mean 15.312500	 taskstep variance 3.380705	 total taskstep 24.000000	 robotstep 64.000000	 robotstep mean 55.687500	 robotstep variance 5.134443	 total robotstep 68.000000
SAPOAads Algorithm :	 taskstep 25.000000	 taskstep mean 20.875000	 taskstep variance 2.334524	 total taskstep 33.000000	 robotstep 71.000000	 robotstep mean 57.125000	 robotstep variance 6.141390	 total robotstep 72.000000
SAPOAads Algorithm :	 taskstep 23.000000	 taskstep mean 15.812500	 taskstep variance 7.591388	 total taskstep 33.000000	 robotstep 71.000000	 robotstep mean 57.437500	 robotstep variance 6.428776	 total robotstep 72.000000
SAPOAads Algorithm :	 taskstep 18.000000	 taskstep mean 14.812500	 taskstep variance 3.208712	 total taskstep 24.000000	 robotstep 63.000000	 robotstep mean 54.937500	 robotstep variance 4.250000	 total robotstep 66.000000
